metric,Modified_mean,Modified_std,Unmodified_mean,Unmodified_std
mean_time,0.2685066666666666,0.024476629397583865,0.029682000000000004,0.00011945710527214394
total_time,69.57166666666666,93.18661093025469,3.09,0.01581138830084191
success_rate,97.95,1.3765899897936207,100.0,0.0
